archivo,codigo
01A01_01EP-MAISONAVE,  118015 
01A03_01EP-REALICO,  202 
01A05_01EP-ADOLFO VAN PRAET,  219 
01A14_01EP-FALUCHO,  162 
01A16_01EP-OJEDA,  193 
01A17_01EP-ALTA ITALIA,  134 
01A21_01EP-INGENIERO LUIGGI,  174 
01A22_01EP-EMBAJADOR MARTINI,  159 
01B01_01EP-CORONEL HILARIO LAGOS,  153 
01B03_01EP-SARAH,  208 
01B04_01EP-BERNARDO LARROUDE,  139 
01B14_01EM Intendente Alvear,  121255 
01B14_01EP-INTENDENTE ALVEAR,  175 
01B19_01EP-CEBALLOS,  147 
01B21_01EP-VERTIZ,  220 
01C07_01EP-TREBOLARES,  214 
01C09_01EP-SPELUZZI,  209 
01C12_01EM General Pico,  121375 
01C12_01EP-GENERAL PICO,  166 
01C16_01EP-AGUSTONI,  131 
01C18_01EP-DORILA,  157 
01D01_01EM Don Osvaldo,  47455 
01D12_01EP-ARATA,  136 
01D14_01EP-TRENEL,  215 
01D16_01EP-METILEO,  189 
01D24_01EP-MONTE NIEVAS,  191 
02A02_01EP-EDUARDO CASTEX,  158 
02A16_01EP-MAURICIO MAYER,  188 
02A18_01EP-WINIFREDA,  223 
02B07_01EM QUEMU QUEMU,  91315 
02B07_01EP-QUEMU QUEMU,  199 
02B10_01EP-VILLA MIRASOL,  222 
02B11_01EP-COLONIA BARON,  150 
02B14_01EP-MIGUEL CANE,  190 
02B16_01EP-RELMO,  1035 
02C05_01EP-CATRILO,  146 
02C08_01EP-LONQUIMAY,  185 
02C09_01EP-LA GLORIA,  179 
02C10_01EP-URIBURU,  218 
02D06_01EP-ANGUIL,  135 
02D12_01EMno vale,  112835 
02D12_01EM-SANTA ROSA,  112855 
02D12_01EP-SANTA ROSA,  207 
02D15_01EM-ANGUIL-INTA,  1635 
02D19_01EP-TOAY,  212 
02D22_01EP-CACHIRULO,  117995 
03A10_01EP-NAICO,  192 
03A13_01EP-ATALIVA ROCA,  20 
03A16_01EM Doblas,  121335 
03A16_01EP-DOBLAS,  11 
03A20_01EP-QUEHUE,  27 
03B01_01EP-CEREALES,  148 
03B03_01EP-MIGUEL RIGLOS,  28 
03B04_01EP-TOMAS ANCHORENA,  213 
03B16_01EP-ROLON,  18 
03B18_01EP-MACACHIN,  14 
03B24_01EM-SALINAS GRANDES,  2115 
03C09_01EP-ALPACHIRI,  133 
03C14_01EP-GENERAL MANUEL J. CAMPOS,  165 
03C16_01EP-COLONIA SANTA TERESA,  955 
03C24_01EP-GUATRACHE,  170 
03D03_01EP-PADRE BUODO,  118055 
03D13_01EP-COLONIA SANTA MARIA,  118035 
03D19_01EP-UNANUE,  217 
03D24_01EP-PERU,  195 
04B11_01EP-ABRAMO,  130 
04B12_01EP-BERNASCONI,  140 
04B17_01EP-GENERAL SAN MARTIN,  167 
04B25_01EP-JACINTO ARAUZ,  177 
07B01_01EP-CHAMAICÓ,  149 
07B04_01EP-RANCUL,  201 
07B04_01EP-RANCUL (KAPLUK),  2715 
07B05_01EP-QUETREQUEN,  200 
07B06_01EP-PARERA,  194 
07B19_01EP-EL TALA,  1055 
07C06_01EP-CALEUFU,  143 
07C11_01EP-LA MARUJA,  181 
07C13_01EP-PICHI HUINCA,  196 
07D15_01EP-INGENIERO FOSTER,  173 
08A16_01EP-LUAN TORO,  187 
08A18_01EP-LOVENTUEL,  186 
08A19_01EM Victorica,  121275 
08A19_01EP-VICTORICA,  221 
08A21_01EP-TELEN,  210 
08B06_01EP-CONHELO,  152 
08B09_01EP-RUCANELO,  204 
08D08_01EP-CARRO QUEMADO,  144 
09C05_01EP-UTRACAN,  30 
09C06_01EM General Acha,  112575 
09C06_01EP-GENERAL ACHA,  13 
09C06_02EM La Elba-INTA,  133735 
10A20_01EP-LIHUE CALEL,  156315 
10A20_EM-LIHUE CALEL,  174435 
14A13_01EM Meauco,  91335 
14D08_01EM-CHACHARRAMENDI,  133755 
14D08_01EP-CHACHARRAMENDI,  10 
15D01_01EM-PUELCHES,  172655 
15D01_01EP-PUELCHES,  185575 
18A19_EP-SANTA ISABEL,  174515 
19A24_01EM-LIMAY MAHUIDA,  172675 
19A24_EP-LIMAY MAHUIDA,  174495 
19C18_01EP-LA REFORMA,  174475 
23A23_01EM-LA HUMADA,  174535 
23A23EP-LA HUMADA,  176875 
23C05_01EM-ALGARROBO DEL AGUILA,  172575 
23C05_EP-ALGARROBO DEL AGUILA,  185635 
24C10_01EM-PUELEN,  172615 
24C10_01EP-PUELEN,  185615 
25 DE MAYO,  129 
28C20_EP-ARBOL SOLO,  174455 
AGUA DE TORRES,  2355 
AGUAS BUENAS,  1595 
ALGARROBO DEL AGUILA,  132 
ALGARROBO DEL AGUILA-AUTOMATICA,  1615 
ANQUILOBO,  1655 
ANZOATEGUI,  1675 
ARBOL SOLO,  137 
ATREUCO,  138 
BOEUF,  141 
BUTA RANQUIL,  2375 
CACHIRULO,  142 
CASA DE PIEDRA,  145 
CATRILO PUESTO CAMINERO,  935 
CHACHARRAMENDI-AUTOMÁTICA,  1255 
COLONIA CHICA,  151 
COLONIA INES Y CARLOTA,  855 
COLONIA RAMON QUINTA,  2075 
COLONIA SANTA MARIA,  1135 
COTITA,  154 
CUCHILLO CO,  155 
DAMIAN MAISONAVE,  156 
DON OSVALDO,  1155 
DON SANTIAGO,  1315 
DORILA-AUTOMÁTICA,  1235 
EL ESCABEL,  12 
EL ÑANDÚ,  1295 
EL ODRE,  1695 
EL SAUZAL,  2435 
EMA-COSERIA-automática,  3315 
EMILIO MITRE,  160 
EPU PEL,  161 
ESTABLECIMIENTO DON PEPE,  3755 
ESTACIÓN EXPERIMENTAL AGROPECUARIA,  2395 
GAMAY,  163 
GAVIOTAS,  164 
GENERAL PICO-AEROPUERTO,  1735 
GENERAL PICO-INTA,  1755 
GOBERNADOR AYALA,  168 
GOBERNADOR DUVAL,  169 
GUATRACHE AGRO,  1775 
HIDALGO,  815 
HUCAL,  171 
HUELEN,  172 
INGENIERO LUIGGI-AUTOMATICA,  1795 
ISLA CEVASCO,  2455 
ISLA GRANDE,  1195 
IVANOWSKY,  176 
JAGÜEL DEL MONTE,  1815 
KM 627,  1835 
LA ADELA,  178 
LA GITANA,  1175 
LA HUMADA,  180 
LA PASTORIL-CHALILEO,  1075 
LA PORTEÑA-HUCAL,  1095 
LA REFORMA,  182 
LEUVUCO,  184 
LIHUE CALEL,  2495 
LIMAY MAHUIDA,  183 
MACACHÍN-FERROCARRIL,  1915 
MARI MAMUEL,  1935 
MIRO MARIANO,  1955 
NAICO-FERROCARRIL,  1975 
PADRE BUODO,  15 
PADRE BUODO-PUESTO CAMINERO,  1015 
PARQUE LURO,  1995 
PASO DE LOS ALGARROBOS,  875 
PAVÓN,  1275 
PEÑA ALFREDO,  2015 
Pichi Mahuida,  3355 
PUELCHES,  197 
PUELEN,  198 
QUEMU QUEMU-AUTOMÁTICA,  1215 
QUEMU QUEMU-FERROCARRIL,  2055 
RANCHO ALEGRE,  1335 
REALICO-PUESTO CAMINERO,  915 
REMECO,  203 
REMECO-FERROCARRIL,  2095 
RESGUARDO PADRE BUODO,  835 
SAN JOSE,  205 
SANTA ISABEL,  206 
SANTA ROSA AEROPUERTO,  2195 
SANTA ROSA (Facultad de Agronomía),  2135 
SANTA ROSA-FERROCARRIL,  2215 
SIMSON,  2235 
TELEN-FERROCARRIL,  2255 
TENIENTE GENERAL EMILIO MITRE,  211 
TIMBO-GENERAL ACHA,  2415 
TREBOLARES-FERROCARRIL,  2275 
TRILI,  216 
URIBURU-FERROCARRIL,  2295 
VA24-EM1 La Adela- APA,  136915 
VAN PRAET-FERROCARRIL,  2315 
VICTORICA-FERROCARRIL,  2335 
VILLA ALBA,  2475 
XC6-EM1 Cuchillo Có-APA,  136935 
XVD1-EM1 Puelches-APA,  136955 
XXIB10-EM1 Gobernador Duval,  134915 
XXIB10-EM2 Gobernador Duval-APA,  136975 
XXVA14-EM1 25 de Mayo-INTA,  134895 
XXVA17-EM1 Colonia Chica- APA,  137015 
XXVA5-EM2 25 de Mayo-Ente Prov. Rio Colorado,  134875 
XXVA5-EM3 25 de Mayo- APA,  136995 
XXVC4-EM1 Casa de Piedra-UNLPam-COIRCO,  134935 
XXVC5-EM2 Casa de Piedra- APA,  137035 
